YEAR/MONTH|DEVICE_REPORT_PRODUCT_CODE|EVENT_TYPE
2011/04|MAF|IN|38
2011/04|MAF|M|48
2011/04|NIQ|*|2
2011/04|NIQ|D|78
2011/04|NIQ|IN|336
2011/04|NIQ|M|146
2011/05|MAF|D|5
2011/05|MAF|IN|37
2011/05|MAF|M|39
2011/05|NIQ|*|4
2011/05|NIQ|D|78
2011/05|NIQ|IN|356
2011/05|NIQ|M|139
2011/06|MAF|D|18
2011/06|MAF|IN|37
2011/06|MAF|M|49
2011/06|NIQ|*|1
2011/06|NIQ|D|71
2011/06|NIQ|IN|357
2011/06|NIQ|M|186
2011/07|MAF|D|6
2011/07|MAF|IN|33
2011/07|MAF|M|52
2011/07|NIQ|D|57
2011/07|NIQ|IN|358
2011/07|NIQ|M|129
2011/08|MAF|D|6
2011/08|MAF|IN|36
2011/08|MAF|M|68
2011/08|NIQ|*|1
2011/08|NIQ|D|77
2011/08|NIQ|IN|341
2011/08|NIQ|M|174
2011/09|MAF|D|1
2011/09|MAF|IN|36
2011/09|MAF|M|37
2011/09|NIQ|*|1
2011/09|NIQ|D|52
2011/09|NIQ|IN|396
2011/09|NIQ|M|184
2011/10|MAF|D|5
2011/10|MAF|IN|40
2011/10|MAF|M|46
2011/10|NIQ|*|3
2011/10|NIQ|D|90
2011/10|NIQ|IN|376
2011/10|NIQ|M|159
2011/11|MAF|D|2
2011/11|MAF|IN|38
2011/11|MAF|M|58
2011/11|NIQ|D|78
2011/11|NIQ|IN|263
2011/11|NIQ|M|178
2011/12|MAF|D|8
2011/12|MAF|IN|23
2011/12|MAF|M|43
2011/12|NIQ|D|88
2011/12|NIQ|IN|386
2011/12|NIQ|M|202
2012/01|MAF|D|3
2012/01|MAF|IN|25
2012/01|MAF|M|48
2012/01|NIQ|*|2
2012/01|NIQ|D|96
2012/01|NIQ|IN|406
2012/01|NIQ|M|224
2012/02|MAF|D|5
2012/02|MAF|IN|42
2012/02|MAF|M|40
2012/02|NIQ|D|77
2012/02|NIQ|IN|398
2012/02|NIQ|M|230
2012/03|MAF|D|7
2012/03|MAF|IN|46
2012/03|MAF|M|57
2012/03|NIQ|*|2
2012/03|NIQ|D|95
2012/03|NIQ|IN|375
2012/03|NIQ|M|212
2012/04|MAF|D|8
2012/04|MAF|IN|24
2012/04|MAF|M|39
2012/04|NIQ|*|1
2012/04|NIQ|D|55
2012/04|NIQ|IN|290
2012/04|NIQ|M|192
2012/05|MAF|D|4
2012/05|MAF|IN|40
2012/05|MAF|M|52
2012/05|NIQ|D|83
2012/05|NIQ|IN|305
2012/05|NIQ|M|218
2012/05|PNY|D|1
2012/05|PNY|IN|1
2012/05|PNY|M|1
2012/06|MAF|D|6
2012/06|MAF|IN|29
2012/06|MAF|M|59
2012/06|NIQ|D|84
2012/06|NIQ|IN|288
2012/06|NIQ|M|207
2012/07|MAF|D|5
2012/07|MAF|IN|25
2012/07|MAF|M|36
2012/07|NIQ|*|1
2012/07|NIQ|D|65
2012/07|NIQ|IN|274
2012/07|NIQ|M|186
2012/08|MAF|D|11
2012/08|MAF|IN|36
2012/08|MAF|M|48
2012/08|NIQ|D|66
2012/08|NIQ|IN|235
2012/08|NIQ|M|240
2012/08|NIQ|O|1
2012/09|MAF|D|10
2012/09|MAF|IN|49
2012/09|MAF|M|31
2012/09|NIQ|D|70
2012/09|NIQ|IN|282
2012/09|NIQ|M|225
2012/10|MAF|D|4
2012/10|MAF|IN|40
2012/10|MAF|M|40
2012/10|NIQ|D|52
2012/10|NIQ|IN|293
2012/10|NIQ|M|221
2012/11|MAF|D|6
2012/11|MAF|IN|38
2012/11|MAF|M|44
2012/11|NIQ|D|65
2012/11|NIQ|IN|273
2012/11|NIQ|M|213
2012/11|PNY|D|1
2012/11|PNY|IN|1
2012/12|MAF|D|7
2012/12|MAF|IN|26
2012/12|MAF|M|29
2012/12|NIQ|D|69
2012/12|NIQ|IN|273
2012/12|NIQ|M|200
2012/12|PNY|D|1
2012/12|PNY|IN|6
2013/01|MAF|D|14
2013/01|MAF|IN|42
2013/01|MAF|M|47
2013/01|NIQ|*|2
2013/01|NIQ|D|84
2013/01|NIQ|IN|387
2013/01|NIQ|M|212
2013/01|PNY|D|1
2013/01|PNY|IN|2
2013/02|MAF|D|2
2013/02|MAF|IN|47
2013/02|MAF|M|28
2013/02|NIQ|*|1
2013/02|NIQ|D|56
2013/02|NIQ|IN|295
2013/02|NIQ|M|202
2013/03|MAF|D|4
2013/03|MAF|IN|36
2013/03|MAF|M|34
2013/03|NIQ|D|74
2013/03|NIQ|IN|259
2013/03|NIQ|M|239
2013/03|PNY|IN|2
2013/04|MAF|D|21
2013/04|MAF|IN|29
2013/04|MAF|M|42
2013/04|MAF|O|2
2013/04|NIQ|*|1
2013/04|NIQ|D|44
2013/04|NIQ|IN|300
2013/04|NIQ|M|262
2013/04|PNY|IN|1
2013/05|MAF|D|11
2013/05|MAF|IN|48
2013/05|MAF|M|55
2013/05|NIQ|D|57
2013/05|NIQ|IN|281
2013/05|NIQ|M|230
2013/05|PNY|IN|2
2013/06|MAF|*|1
2013/06|MAF|D|9
2013/06|MAF|IN|37
2013/06|MAF|M|36
2013/06|NIQ|D|52
2013/06|NIQ|IN|287
2013/06|NIQ|M|202
2013/06|PNY|D|1
2013/06|PNY|IN|3
2013/07|MAF|D|3
2013/07|MAF|IN|29
2013/07|MAF|M|28
2013/07|NIQ|*|2
2013/07|NIQ|D|57
2013/07|NIQ|IN|293
2013/07|NIQ|M|282
2013/08|MAF|D|6
2013/08|MAF|IN|21
2013/08|MAF|M|33
2013/08|NIQ|D|44
2013/08|NIQ|IN|284
2013/08|NIQ|M|233
2013/08|PNY|D|1
2013/08|PNY|IN|1
2013/09|MAF|D|4
2013/09|MAF|IN|32
2013/09|MAF|M|33
2013/09|NIQ|*|1
2013/09|NIQ|D|37
2013/09|NIQ|IN|238
2013/09|NIQ|M|227
2013/09|PNY|D|1
2013/09|PNY|IN|2
2013/10|MAF|D|6
2013/10|MAF|IN|25
2013/10|MAF|M|42
2013/10|NIQ|*|3
2013/10|NIQ|D|60
2013/10|NIQ|IN|260
2013/10|NIQ|M|271
2013/10|PNY|IN|1
2013/11|MAF|D|1
2013/11|MAF|IN|26
2013/11|MAF|M|36
2013/11|NIQ|*|1
2013/11|NIQ|D|39
2013/11|NIQ|IN|214
2013/11|NIQ|M|245
2013/12|MAF|D|5
2013/12|MAF|IN|19
2013/12|MAF|M|34
2013/12|NIQ|D|57
2013/12|NIQ|IN|230
2013/12|NIQ|M|249
2013/12|PNY|D|1
2013/12|PNY|IN|11
2013/12|PNY|M|1
2014/01|MAF|*|1
2014/01|MAF|D|5
2014/01|MAF|IN|25
2014/01|MAF|M|43
2014/01|NIQ|D|66
2014/01|NIQ|IN|255
2014/01|NIQ|M|285
2014/01|PNY|IN|4
2014/02|MAF|D|8
2014/02|MAF|IN|21
2014/02|MAF|M|26
2014/02|NIQ|*|1
2014/02|NIQ|D|28
2014/02|NIQ|IN|223
2014/02|NIQ|M|235
2014/02|PNY|IN|2
2014/03|MAF|D|9
2014/03|MAF|IN|17
2014/03|MAF|M|39
2014/03|NIQ|D|61
2014/03|NIQ|IN|227
2014/03|NIQ|M|217
2014/03|PNY|D|1
2014/04|MAF|*|1
2014/04|MAF|D|3
2014/04|MAF|IN|24
2014/04|MAF|M|42
2014/04|NIQ|D|39
2014/04|NIQ|IN|211
2014/04|NIQ|M|189
2014/04|PNY|IN|1
2014/05|MAF|D|6
2014/05|MAF|IN|23
2014/05|MAF|M|33
2014/05|NIQ|D|47
2014/05|NIQ|IN|202
2014/05|NIQ|M|241
2014/05|PNY|D|2
2014/05|PNY|IN|4
2014/06|MAF|D|10
2014/06|MAF|IN|28
2014/06|MAF|M|36
2014/06|NIQ|D|56
2014/06|NIQ|IN|179
2014/06|NIQ|M|276
2014/06|PNY|IN|1
2014/07|MAF|D|4
2014/07|MAF|IN|27
2014/07|MAF|M|32
2014/07|NIQ|D|40
2014/07|NIQ|IN|199
2014/07|NIQ|M|268
2014/07|PNY|IN|1
2014/08|MAF|D|6
2014/08|MAF|IN|25
2014/08|MAF|M|37
2014/08|NIQ|D|23
2014/08|NIQ|IN|191
2014/08|NIQ|M|268
2014/08|PNY|IN|3
2014/08|PNY|M|1
2014/09|MAF|D|3
2014/09|MAF|IN|27
2014/09|MAF|M|45
2014/09|NIQ|D|38
2014/09|NIQ|IN|189
2014/09|NIQ|M|298
2014/09|PNY|D|1
2014/09|PNY|IN|1
2014/10|MAF|D|6
2014/10|MAF|IN|24
2014/10|MAF|M|28
2014/10|NIQ|D|20
2014/10|NIQ|IN|185
2014/10|NIQ|M|312
2014/11|MAF|D|4
2014/11|MAF|IN|21
2014/11|MAF|M|35
2014/11|NIQ|D|39
2014/11|NIQ|IN|173
2014/11|NIQ|M|272
2014/11|NIV|D|1
2014/11|PNY|IN|2
2014/11|PNY|M|1
2014/12|MAF|D|1
2014/12|MAF|IN|28
2014/12|MAF|M|28
2014/12|NIQ|D|35
2014/12|NIQ|IN|204
2014/12|NIQ|M|334
2014/12|PNY|IN|2
2015/01|MAF|D|3
2015/01|MAF|IN|17
2015/01|MAF|M|25
2015/01|NIQ|*|1
2015/01|NIQ|D|44
2015/01|NIQ|IN|181
2015/01|NIQ|M|319
2015/01|NIQ|O|1
2015/01|NIV|M|1
2015/01|PNY|IN|7
2015/01|PNY|M|1
2015/02|MAF|D|5
2015/02|MAF|IN|36
2015/02|MAF|M|28
2015/02|NIQ|*|1
2015/02|NIQ|D|34
2015/02|NIQ|IN|163
2015/02|NIQ|M|250
2015/02|NIQ|O|1
2015/02|PNY|D|1
2015/02|PNY|IN|4
2015/03|MAF|*|1
2015/03|MAF|D|9
2015/03|MAF|IN|23
2015/03|MAF|M|28
2015/03|NIQ|*|1
2015/03|NIQ|D|40
2015/03|NIQ|IN|170
2015/03|NIQ|M|307
2015/03|PNY|D|1
2015/03|PNY|IN|3
2015/04|MAF|D|4
2015/04|MAF|IN|25
2015/04|MAF|M|21
2015/04|NIQ|D|25
2015/04|NIQ|IN|170
2015/04|NIQ|M|279
2015/04|PNY|IN|1
2015/05|MAF|D|6
2015/05|MAF|IN|15
2015/05|MAF|M|24
2015/05|NIQ|D|36
2015/05|NIQ|IN|190
2015/05|NIQ|M|223
2015/05|PNY|D|1
2015/05|PNY|IN|1
2015/06|MAF|D|4
2015/06|MAF|IN|23
2015/06|MAF|M|28
2015/06|NIQ|D|45
2015/06|NIQ|IN|250
2015/06|NIQ|M|291
2015/06|PNY|D|1
2015/06|PNY|IN|2
2015/07|MAF|D|7
2015/07|MAF|IN|26
2015/07|MAF|M|29
2015/07|NIQ|D|43
2015/07|NIQ|IN|208
2015/07|NIQ|M|244
2015/07|PNY|IN|2
2015/08|MAF|D|5
2015/08|MAF|IN|23
2015/08|MAF|M|15
2015/08|NIQ|D|36
2015/08|NIQ|IN|182
2015/08|NIQ|M|268
2015/08|PNY|D|1
2015/08|PNY|IN|2
2015/08|PNY|M|1
2015/09|MAF|D|9
2015/09|MAF|IN|14
2015/09|MAF|M|17
2015/09|NIQ|D|46
2015/09|NIQ|IN|189
2015/09|NIQ|M|255
2015/10|MAF|D|5
2015/10|MAF|IN|20
2015/10|MAF|M|19
2015/10|NIQ|D|27
2015/10|NIQ|IN|204
2015/10|NIQ|M|253
2015/10|PNY|IN|3
2015/10|PNY|M|1
2015/11|MAF|D|2
2015/11|MAF|IN|13
2015/11|MAF|M|31
2015/11|NIQ|D|20
2015/11|NIQ|IN|214
2015/11|NIQ|M|260
2015/11|PNY|D|4
2015/11|PNY|IN|7
2015/12|MAF|D|4
2015/12|MAF|IN|26
2015/12|MAF|M|19
2015/12|NIQ|D|38
2015/12|NIQ|IN|205
2015/12|NIQ|M|288
2015/12|PNY|IN|5
2016/01|MAF|D|3
2016/01|MAF|IN|35
2016/01|MAF|M|35
2016/01|NIQ|D|62
2016/01|NIQ|IN|243
2016/01|NIQ|M|318
2016/01|PNY|D|2
2016/01|PNY|IN|7
2016/02|MAF|D|2
2016/02|MAF|IN|38
2016/02|MAF|M|14
2016/02|NIQ|D|42
2016/02|NIQ|IN|228
2016/02|NIQ|M|330
2016/02|PNY|IN|4
2016/03|MAF|D|3
2016/03|MAF|IN|22
2016/03|MAF|M|30
2016/03|NIQ|D|44
2016/03|NIQ|IN|233
2016/03|NIQ|M|367
2016/03|PNY|IN|9
2016/04|MAF|D|12
2016/04|MAF|IN|32
2016/04|MAF|M|27
2016/04|NIQ|D|35
2016/04|NIQ|IN|246
2016/04|NIQ|M|283
2016/04|PNY|D|1
2016/04|PNY|IN|16
2016/04|PNY|M|1
2016/05|MAF|D|2
2016/05|MAF|IN|22
2016/05|MAF|M|34
2016/05|NIQ|D|32
2016/05|NIQ|IN|217
2016/05|NIQ|M|327
2016/05|PNY|IN|5
2016/06|MAF|D|4
2016/06|MAF|IN|21
2016/06|MAF|M|18
2016/06|NIQ|D|17
2016/06|NIQ|IN|210
2016/06|NIQ|M|303
2016/06|PNY|IN|12
2016/06|PNY|M|2
2016/07|MAF|D|7
2016/07|MAF|IN|21
2016/07|MAF|M|20
2016/07|NIQ|D|32
2016/07|NIQ|IN|143
2016/07|NIQ|M|288
2016/07|PNY|D|4
2016/07|PNY|IN|23
2016/07|PNY|M|2
2016/08|MAF|D|7
2016/08|MAF|IN|22
2016/08|MAF|M|22
2016/08|NIQ|D|30
2016/08|NIQ|IN|166
2016/08|NIQ|M|305
2016/08|PNY|D|4
2016/08|PNY|IN|37
2016/08|PNY|M|1
2016/09|MAF|D|6
2016/09|MAF|IN|26
2016/09|MAF|M|17
2016/09|MAF|O|1
2016/09|NIQ|D|39
2016/09|NIQ|IN|152
2016/09|NIQ|M|279
2016/09|PNY|D|7
2016/09|PNY|IN|52
2016/09|PNY|M|3
2016/10|MAF|D|13
2016/10|MAF|IN|28
2016/10|MAF|M|18
2016/10|NIQ|*|2
2016/10|NIQ|D|38
2016/10|NIQ|IN|167
2016/10|NIQ|M|286
2016/10|PNY|D|6
2016/10|PNY|IN|43
2016/10|PNY|M|5
2016/11|MAF|D|7
2016/11|MAF|IN|20
2016/11|MAF|M|24
2016/11|NIQ|D|38
2016/11|NIQ|IN|213
2016/11|NIQ|M|332
2016/11|PNY|D|6
2016/11|PNY|IN|48
2016/11|PNY|M|1
2016/12|MAF|D|6
2016/12|MAF|IN|29
2016/12|MAF|M|24
2016/12|NIQ|*|1
2016/12|NIQ|D|59
2016/12|NIQ|IN|193
2016/12|NIQ|M|302
2016/12|PNY|D|14
2016/12|PNY|IN|80
2016/12|PNY|M|1
2017/01|MAF|D|8
2017/01|MAF|IN|23
2017/01|MAF|M|20
2017/01|NIQ|D|45
2017/01|NIQ|IN|193
2017/01|NIQ|M|283
2017/01|PNY|D|2
2017/01|PNY|IN|32
2017/01|PNY|M|1
2017/02|MAF|D|12
2017/02|MAF|IN|33
2017/02|MAF|M|22
2017/02|NIQ|D|49
2017/02|NIQ|IN|165
2017/02|NIQ|M|304
2017/02|PNY|D|4
2017/02|PNY|IN|42
2017/02|PNY|M|1
2017/03|MAF|D|7
2017/03|MAF|IN|29
2017/03|MAF|M|26
2017/03|NIQ|D|46
2017/03|NIQ|IN|190
2017/03|NIQ|M|371
2017/03|PNY|D|2
2017/03|PNY|IN|46
2017/03|PNY|M|3
2017/04|MAF|D|7
2017/04|MAF|IN|39
2017/04|MAF|M|22
2017/04|NIQ|D|31
2017/04|NIQ|IN|188
2017/04|NIQ|M|311
2017/04|PNY|D|2
2017/04|PNY|IN|11
2017/04|PNY|M|1
2017/05|MAF|D|14
2017/05|MAF|IN|39
2017/05|MAF|M|29
2017/05|NIQ|*|1
2017/05|NIQ|D|26
2017/05|NIQ|IN|165
2017/05|NIQ|M|316
2017/05|PNY|D|1
2017/05|PNY|IN|23
2017/06|MAF|D|4
2017/06|MAF|IN|29
2017/06|MAF|M|13
2017/06|NIQ|D|27
2017/06|NIQ|IN|211
2017/06|NIQ|M|309
2017/06|PNY|IN|17
2017/07|MAF|D|8
2017/07|MAF|IN|23
2017/07|MAF|M|15
2017/07|NIQ|D|32
2017/07|NIQ|IN|225
2017/07|NIQ|M|259
2017/07|PNY|D|2
2017/07|PNY|IN|8
2017/08|MAF|D|10
2017/08|MAF|IN|30
2017/08|MAF|M|20
2017/08|NIQ|D|30
2017/08|NIQ|IN|314
2017/08|NIQ|M|279
2017/08|PNY|D|2
2017/08|PNY|IN|5
2017/09|MAF|D|7
2017/09|MAF|IN|34
2017/09|MAF|M|18
2017/09|NIQ|D|38
2017/09|NIQ|IN|185
2017/09|NIQ|M|233
2017/09|PNY|IN|7
2017/10|MAF|D|3
2017/10|MAF|IN|21
2017/10|MAF|M|16
2017/10|NIQ|D|58
2017/10|NIQ|IN|179
2017/10|NIQ|M|274
2017/10|PNY|D|1
2017/10|PNY|IN|7
2017/11|MAF|D|5
2017/11|MAF|IN|27
2017/11|MAF|M|16
2017/11|NIQ|D|33
2017/11|NIQ|IN|191
2017/11|NIQ|M|316
2017/11|PNY|D|1
2017/11|PNY|IN|16
2017/12|MAF|D|5
2017/12|MAF|IN|31
2017/12|MAF|M|11
2017/12|NIQ|D|33
2017/12|NIQ|IN|173
2017/12|NIQ|M|296
2017/12|PNY|D|1
2017/12|PNY|IN|12
2018/01|MAF|D|2
2018/01|MAF|IN|36
2018/01|MAF|M|13
2018/01|NIQ|D|34
2018/01|NIQ|IN|203
2018/01|NIQ|M|251
2018/01|PNY|IN|7
2018/02|MAF|D|12
2018/02|MAF|IN|28
2018/02|MAF|M|9
2018/02|NIQ|D|40
2018/02|NIQ|IN|176
2018/02|NIQ|M|234
2018/02|PNY|D|1
2018/02|PNY|IN|1
2018/03|MAF|D|6
2018/03|MAF|IN|27
2018/03|MAF|M|30
2018/03|NIQ|D|54
2018/03|NIQ|IN|225
2018/03|NIQ|M|305
2018/03|PNY|IN|2
2018/04|MAF|D|9
2018/04|MAF|IN|25
2018/04|MAF|M|17
2018/04|NIQ|D|37
2018/04|NIQ|IN|196
2018/04|NIQ|M|310
2018/04|PNY|IN|10
2018/05|MAF|D|9
2018/05|MAF|IN|21
2018/05|MAF|M|16
2018/05|NIQ|D|36
2018/05|NIQ|IN|286
2018/05|NIQ|M|315
2018/05|PNY|IN|6
2018/06|MAF|D|4
2018/06|MAF|IN|25
2018/06|MAF|M|16
2018/06|NIQ|D|38
2018/06|NIQ|IN|270
2018/06|NIQ|M|309
2018/06|PNY|D|2
2018/06|PNY|IN|9
2018/06|PNY|M|1
2018/07|MAF|D|1
2018/07|MAF|IN|21
2018/07|MAF|M|19
2018/07|NIQ|D|48
2018/07|NIQ|IN|220
2018/07|NIQ|M|323
2018/07|PNY|D|1
2018/07|PNY|IN|5
2018/08|MAF|D|2
2018/08|MAF|IN|30
2018/08|MAF|M|15
2018/08|NIQ|D|48
2018/08|NIQ|IN|315
2018/08|NIQ|M|393
2018/08|PNY|D|1
2018/08|PNY|IN|1
2018/09|MAF|D|4
2018/09|MAF|IN|20
2018/09|MAF|M|12
2018/09|NIQ|D|41
2018/09|NIQ|IN|287
2018/09|NIQ|M|285
2018/10|MAF|D|6
2018/10|MAF|IN|34
2018/10|MAF|M|22
2018/10|NIQ|D|34
2018/10|NIQ|IN|217
2018/10|NIQ|M|268
2018/10|PNY|IN|1
2018/11|MAF|D|7
2018/11|MAF|IN|32
2018/11|MAF|M|15
2018/11|NIQ|D|42
2018/11|NIQ|IN|196
2018/11|NIQ|M|269
2018/11|PNY|IN|2
2018/12|MAF|D|4
2018/12|MAF|IN|17
2018/12|MAF|M|13
2018/12|NIQ|D|40
2018/12|NIQ|IN|238
2018/12|NIQ|M|327
2018/12|PNY|D|1
2018/12|PNY|IN|6
2018/12|PNY|M|1
2019/01|MAF|D|5
2019/01|MAF|IN|23
2019/01|MAF|M|23
2019/01|NIQ|D|48
2019/01|NIQ|IN|218
2019/01|NIQ|M|305
2019/01|PNY|IN|1
2019/02|MAF|D|4
2019/02|MAF|IN|22
2019/02|MAF|M|14
2019/02|NIQ|D|39
2019/02|NIQ|IN|234
2019/02|NIQ|M|279
2019/02|PNY|D|1
2019/02|PNY|IN|7
2019/03|MAF|D|2
2019/03|MAF|IN|37
2019/03|MAF|M|10
2019/03|NIQ|D|33
2019/03|NIQ|IN|184
2019/03|NIQ|M|357
2019/03|PNY|IN|1
2019/04|MAF|D|6
2019/04|MAF|IN|24
2019/04|MAF|M|16
2019/04|NIQ|D|28
2019/04|NIQ|IN|243
2019/04|NIQ|M|434
2019/04|NIV|M|3
2019/04|PNY|D|1
2019/04|PNY|IN|2
2019/05|MAF|D|1
2019/05|MAF|IN|32
2019/05|MAF|M|18
2019/05|NIQ|D|20
2019/05|NIQ|IN|225
2019/05|NIQ|M|358
2019/05|PNY|IN|1
2019/06|MAF|D|5
2019/06|MAF|IN|27
2019/06|MAF|M|16
2019/06|NIQ|D|32
2019/06|NIQ|IN|188
2019/06|NIQ|M|304
2019/06|NIV|D|5
2019/06|NIV|M|5
2019/06|PNY|IN|4
2019/07|MAF|D|8
2019/07|MAF|IN|26
2019/07|MAF|M|19
2019/07|NIQ|D|13
2019/07|NIQ|IN|151
2019/07|NIQ|M|312
2019/07|NIV|M|3
2019/07|PNY|IN|4
2019/08|MAF|D|4
2019/08|MAF|IN|25
2019/08|MAF|M|16
2019/08|NIQ|D|28
2019/08|NIQ|IN|190
2019/08|NIQ|M|326
2019/08|NIV|M|2
2019/09|MAF|D|3
2019/09|MAF|IN|25
2019/09|MAF|M|9
2019/09|NIQ|D|28
2019/09|NIQ|IN|191
2019/09|NIQ|M|261
2019/09|NIV|D|1
2019/09|NIV|IN|1
2019/09|NIV|M|2
2019/09|PNY|D|1
2019/09|PNY|IN|2
2019/10|MAF|D|4
2019/10|MAF|IN|18
2019/10|MAF|M|12
2019/10|NIQ|D|26
2019/10|NIQ|IN|176
2019/10|NIQ|M|310
2019/10|NIV|M|6
2019/10|PNY|IN|1
2019/11|MAF|D|8
2019/11|MAF|IN|26
2019/11|MAF|M|14
2019/11|NIQ|D|42
2019/11|NIQ|IN|190
2019/11|NIQ|M|355
2019/11|NIV|D|1
2019/11|NIV|IN|2
2019/11|NIV|M|6
2019/11|PNY|D|1
2019/11|PNY|IN|2
2019/12|MAF|D|8
2019/12|MAF|IN|14
2019/12|MAF|M|14
2019/12|NIQ|D|44
2019/12|NIQ|IN|210
2019/12|NIQ|M|329
2019/12|NIV|IN|2
2019/12|NIV|M|2
2019/12|PNY|D|1
2019/12|PNY|IN|1
2020/01|MAF|D|10
2020/01|MAF|IN|28
2020/01|MAF|M|11
2020/01|NIQ|D|59
2020/01|NIQ|IN|177
2020/01|NIQ|M|322
2020/01|NIV|M|4
2020/02|MAF|D|3
2020/02|MAF|IN|16
2020/02|MAF|M|11
2020/02|NIQ|D|13
2020/02|NIQ|IN|186
2020/02|NIQ|M|274
2020/02|NIV|IN|6
2020/02|NIV|M|1
2020/02|PNY|D|2
2020/02|PNY|IN|4
2020/03|MAF|D|3
2020/03|MAF|IN|21
2020/03|MAF|M|16
2020/03|NIQ|D|17
2020/03|NIQ|IN|125
2020/03|NIQ|M|278
2020/03|NIV|M|1
2020/03|PNY|D|1
2020/03|PNY|IN|1
2020/04|MAF|D|1
2020/04|MAF|IN|18
2020/04|MAF|M|15
2020/04|NIQ|D|22
2020/04|NIQ|IN|85
2020/04|NIQ|M|257
2020/04|NIV|M|1
2020/05|MAF|D|1
2020/05|MAF|IN|14
2020/05|MAF|M|13
2020/05|NIQ|D|38
2020/05|NIQ|IN|79
2020/05|NIQ|M|241
2020/05|NIV|IN|3
2020/05|NIV|M|5
2020/06|MAF|D|2
2020/06|MAF|IN|24
2020/06|MAF|M|13
2020/06|NIQ|D|11
2020/06|NIQ|IN|138
2020/06|NIQ|M|296
2020/06|NIV|D|1
2020/06|NIV|IN|3
2020/06|NIV|M|3
2020/07|MAF|D|1
2020/07|MAF|IN|18
2020/07|MAF|M|13
2020/07|NIQ|D|11
2020/07|NIQ|IN|125
2020/07|NIQ|M|331
2020/07|NIV|D|1
2020/07|NIV|IN|1
2020/07|NIV|M|3
2020/07|PNY|IN|2
2020/08|MAF|D|4
2020/08|MAF|IN|12
2020/08|MAF|M|8
2020/08|NIQ|D|15
2020/08|NIQ|IN|115
2020/08|NIQ|M|310
2020/08|NIV|D|1
2020/08|NIV|M|3
2020/09|MAF|D|5
2020/09|MAF|IN|21
2020/09|MAF|M|9
2020/09|NIQ|D|15
2020/09|NIQ|IN|105
2020/09|NIQ|M|334
2020/09|NIV|D|2
2020/09|NIV|M|2
2020/09|PNY|IN|1
2020/10|MAF|D|1
2020/10|MAF|IN|18
2020/10|MAF|M|10
2020/10|NIQ|D|12
2020/10|NIQ|IN|108
2020/10|NIQ|M|308
2020/10|NIV|IN|1
2020/10|NIV|M|2
2020/10|PNY|IN|1
2020/11|MAF|D|1
2020/11|MAF|IN|18
2020/11|MAF|M|5
2020/11|NIQ|D|15
2020/11|NIQ|IN|83
2020/11|NIQ|M|266
2020/11|NIV|IN|1
2020/11|NIV|M|2
2020/12|MAF|IN|1
2020/12|MAF|M|2
2020/12|NIQ|D|3
2020/12|NIQ|IN|27
2020/12|NIQ|M|124
2020/12|NIV|M|1
Unknown/Unknown|MAF|*|8
Unknown/Unknown|MAF|D|56
Unknown/Unknown|MAF|IN|699
Unknown/Unknown|MAF|M|627
Unknown/Unknown|MAF|O|3
Unknown/Unknown|NIQ|*|23
Unknown/Unknown|NIQ|D|365
Unknown/Unknown|NIQ|IN|2798
Unknown/Unknown|NIQ|M|1900
Unknown/Unknown|NIQ|O|15
