YEAR/MONTH|DEVICE_REPORT_PRODUCT_CODE|EVENT_TYPE
2002/04|MAF|M|18
2002/05|MAF|IN|36
2002/05|MAF|M|19
2002/05|MAF|O|2
2002/05|NIQ|IN|3
2002/06|MAF|D|1
2002/06|MAF|IN|24
2002/06|MAF|M|16
2002/06|NIQ|IN|5
2002/07|MAF|IN|23
2002/07|MAF|M|14
2002/07|MAF|O|1
2002/07|NIQ|D|3
2002/07|NIQ|IN|5
2002/08|MAF|D|3
2002/08|MAF|IN|32
2002/08|MAF|M|18
2002/08|MAF|O|3
2002/08|NIQ|IN|3
2002/09|MAF|D|4
2002/09|MAF|IN|31
2002/09|MAF|M|39
2002/09|MAF|O|3
2002/09|NIQ|IN|4
2002/10|MAF|*|1
2002/10|MAF|D|3
2002/10|MAF|IN|62
2002/10|MAF|M|48
2002/10|MAF|O|7
2002/10|NIQ|IN|3
2002/11|MAF|D|1
2002/11|MAF|IN|42
2002/11|MAF|M|56
2002/11|MAF|O|4
2002/11|NIQ|D|2
2002/11|NIQ|IN|3
2002/12|MAF|D|1
2002/12|MAF|IN|35
2002/12|MAF|M|43
2002/12|NIQ|D|4
2002/12|NIQ|IN|4
2003/01|MAF|D|2
2003/01|MAF|IN|45
2003/01|MAF|M|41
2003/01|MAF|O|2
2003/01|NIQ|D|9
2003/01|NIQ|IN|18
2003/01|NIQ|M|4
2003/02|MAF|*|2
2003/02|MAF|D|5
2003/02|MAF|IN|39
2003/02|MAF|M|38
2003/02|MAF|O|2
2003/02|NIQ|D|4
2003/02|NIQ|IN|11
2003/02|NIQ|M|2
2003/03|MAF|D|7
2003/03|MAF|IN|41
2003/03|MAF|M|42
2003/03|MAF|O|2
2003/03|NIQ|D|4
2003/03|NIQ|IN|19
2003/04|MAF|D|5
2003/04|MAF|IN|35
2003/04|MAF|M|51
2003/04|NIQ|*|1
2003/04|NIQ|D|7
2003/04|NIQ|IN|34
2003/04|NIQ|M|11
2003/04|NIQ|O|1
2003/05|MAF|D|7
2003/05|MAF|IN|28
2003/05|MAF|M|34
2003/05|NIQ|*|1
2003/05|NIQ|D|37
2003/05|NIQ|IN|165
2003/05|NIQ|M|41
2003/05|NIQ|O|5
2003/06|MAF|D|3
2003/06|MAF|IN|39
2003/06|MAF|M|32
2003/06|NIQ|*|4
2003/06|NIQ|D|63
2003/06|NIQ|IN|154
2003/06|NIQ|M|43
2003/06|NIQ|O|8
2003/07|MAF|D|1
