MDR_REPORT_KEY|DATE_OF_EVENT|EVENT_TYPE|DEVICE_REPORT_PRODUCT_CODE
10032637|04/08/2020|M|NIQ
10032640|11/26/2019|M|NIQ
10032656|02/10/2020|M|NIQ
10032671|04/20/2020|IN|NIQ
10032675|04/20/2020|IN|NIQ
10032740|02/10/2020|M|NIQ
10035625|04/26/2020|M|NIQ
10035878|04/30/2020|M|NIQ
10036517|03/22/2020|M|NIQ
10036566|04/14/2020|M|NIQ
10036618|04/28/2020|M|NIQ
10036873|04/15/2020|M|MAF
10037676|05/07/2020|M|NIQ
10037707|05/04/2020|M|NIQ
10037762|05/06/2020|M|NIQ
10038152|02/07/2020|M|NIQ
10038182|02/25/2020|M|NIQ
10038243|04/30/2020|IN|NIQ
10038326|04/27/2020|M|NIQ
10038724|04/27/2020|IN|NIQ
10038978|07/11/2019|IN|MAF
10038997|07/11/2019|M|MAF
10039435|03/04/2020|IN|NIQ
10039739|04/13/2020|M|NIQ
10039988|04/22/2020|IN|MAF
10040144|04/22/2020|M|NIQ
10040147|05/05/2020|M|NIQ
10040159|04/30/2020|M|NIQ
10040164|05/05/2020|M|NIQ
10040409|04/22/2020|IN|NIQ
10040646|04/30/2020|M|NIQ
10040665|04/16/2020|M|NIQ
10040716|04/02/2020|M|NIQ
10040787|04/30/2020|M|NIQ
10040800|04/30/2020|M|NIQ
10042134|05/08/2020|IN|NIQ
10042312|12/22/2019|IN|NIQ
10043309|02/01/2020|M|NIQ
10043331|04/07/2020|IN|NIQ
10043654|05/06/2020|M|MAF
10043872|04/18/2020|M|NIQ
10044911|05/06/2020|M|MAF
10045036|04/25/2020|M|NIQ
10045114|04/15/2020|M|NIQ
10045658|03/16/2020|M|NIQ
10045736|06/18/2019|IN|NIQ
10045752|04/15/2020|M|NIQ
10046099|05/10/2020|M|NIQ
10046236|05/08/2020|IN|NIQ
10047476|02/15/2020|M|NIQ
10047583|04/12/2020|M|NIQ
10047595|12/03/2019|M|NIQ
10047656|10/21/2019|M|NIQ
10047820|04/09/2019|M|MAF
10047967|03/05/2020|M|NIQ
10048029|11/16/2019|M|NIQ
10048428|04/24/2020|M|NIQ
10048451|04/19/2020|M|NIQ
10049164|11/28/2016|IN|PNY
10049408|04/24/2020|M|NIQ
10049440|04/13/2020|M|NIQ
10049480|04/16/2020|IN|NIQ
10049486|04/17/2020|M|NIQ
10049721|04/16/2020|IN|NIQ
10050612|04/18/2020|M|NIQ
10050630|05/11/2020|M|NIQ
10050638|09/17/2019|IN|NIQ
10050924|05/12/2020|M|NIQ
10051160|05/07/2020|M|NIQ
10051161|05/01/2020|M|NIQ
10051165|04/01/2020|M|NIQ
10051201|01/19/2020|M|NIQ
10051626|04/01/2020|IN|NIQ
10052052|02/10/2020|M|NIQ
10052062|03/04/2020|M|NIQ
10052817|04/16/2020|IN|NIQ
10053347|09/23/2019|IN|NIQ
10053549|04/20/2020|M|NIQ
10054078|05/11/2020|M|NIQ
10054285|05/08/2020|M|NIQ
10054312|04/29/2020|M|NIQ
10054527|02/24/2020|M|NIQ
10054534|02/14/2020|M|NIQ
10055815|03/05/2020|M|NIQ
10055871|12/17/2019|IN|NIQ
10055993|10/21/2019|M|NIQ
10057005|04/21/2020|M|MAF
10057321|11/28/2019|IN|NIQ
10057657|11/01/2015|IN|PNY
10057935|04/20/2020|IN|NIQ
10057984|04/03/2020|M|NIQ
10058190|04/22/2020|IN|NIQ
10058313|04/14/2020|M|NIQ
10058767|03/03/2020|M|NIQ
10058940|04/17/2020|M|NIQ
10059085|04/20/2020|M|NIQ
10059323|04/17/2020|M|NIQ
10059452|05/08/2020|M|NIQ
10059690|04/22/2020|M|NIQ
10059733|04/30/2020|M|NIQ
10059741|04/24/2020|M|NIQ
10059771|04/21/2020|M|NIQ
10059787|04/28/2020|M|NIQ
10059796|04/20/2020|M|MAF
10059798|05/11/2020|M|MAF
10059831|04/01/2013|IN|PNY
10059869|12/19/2019|M|NIQ
10059875|04/28/2020|M|NIQ
10060459|05/13/2020|M|NIQ
10060491|03/23/2020|M|NIQ
10060570|03/12/2020|M|NIQ
10060670|05/13/2020|IN|NIQ
10061150|02/18/2020|M|NIQ
10063253|03/11/2020|IN|NIQ
10063303|05/12/2020|M|NIQ
10063555|05/11/2020|M|NIQ
10063708|05/12/2020|M|NIQ
10063713|05/03/2020|M|NIQ
10063854|05/12/2020|M|NIQ
10064716|05/13/2020|M|NIQ
10065534|12/13/2019|M|NIQ
10065845|04/20/2020|IN|NIQ
10066122|04/27/2020|IN|NIQ
10067070|04/07/2020|M|NIQ
10068023|05/13/2020|M|NIQ
10068206|04/22/2020|M|NIQ
10068220|04/20/2020|M|NIQ
10068887|05/12/2020|M|NIQ
10069457|05/13/2020|M|NIQ
10069611|04/27/2020|IN|MAF
10069621|04/24/2020|IN|MAF
10069712|03/31/2020|IN|NIQ
10071300|03/18/2020|M|NIQ
10071517|12/12/2019|M|NIQ
10071681|04/27/2020|M|NIQ
10072273|03/10/2020|M|NIQ
10072467|04/15/2020|M|NIQ
10072468|04/13/2020|M|NIQ
10072980|04/23/2020|IN|NIQ
10073058|09/03/2019|M|NIQ
10073093|03/09/2020|M|NIQ
10073287|05/10/2020|M|NIQ
10073339|04/27/2020|M|NIQ
10073955|02/18/2020|M|NIQ
10073974|05/18/2020|M|NIQ
10074382|04/28/2020|IN|MAF
10074412|05/15/2020|IN|NIQ
10074423|05/01/2020|M|MAF
10074504|10/30/2019|M|NIQ
10074772|05/06/2020|IN|NIQ
10074796|02/22/2020|IN|NIQ
10075101|11/23/2018|IN|NIQ
10075256|02/18/2020|M|NIQ
10075274|05/01/2020|M|NIQ
10075636|04/24/2020|IN|NIQ
10076897|04/22/2020|IN|NIQ
10077244|04/24/2020|M|NIQ
10077245|05/19/2020|M|NIQ
10077261|05/05/2020|M|NIQ
10077263|05/13/2020|M|NIQ
10077266|05/15/2020|M|NIQ
10078099|05/14/2020|M|NIQ
10078126|05/19/2020|M|NIQ
10078574|02/18/2020|M|NIQ
10078587|04/07/2020|M|NIQ
10078716|04/24/2020|IN|MAF
10078915|01/28/2020|IN|NIQ
10079025|05/13/2020|M|NIQ
10079127|04/25/2020|M|NIQ
10079197|09/01/2013|IN|PNY
10079639|02/25/2020|IN|NIQ
10079793|06/12/2019|IN|NIQ
10080306|02/18/2020|M|NIQ
10080543|04/22/2020|M|NIQ
10080838|05/15/2020|M|NIQ
10081209|04/20/2020|IN|NIQ
10081971|05/21/2020|M|NIQ
10082513|02/26/2020|M|NIQ
10082538|02/26/2020|M|NIQ
10082556|04/15/2020|M|NIQ
10082686|05/18/2020|M|NIQ
10082901|04/23/2020|IN|NIQ
10082903|04/24/2020|M|NIQ
10082974|12/29/2019|M|NIQ
10083002|04/29/2020|IN|NIQ
10083158|04/17/2020|IN|MAF
10083418|04/28/2020|M|NIQ
10083445|05/18/2020|M|NIQ
10083496|05/22/2019|M|MAF
10083997|05/18/2020|M|NIQ
10084062|05/19/2020|M|NIQ
10085252|05/01/2020|IN|NIQ
10086786|12/12/2019|M|NIQ
10086845|04/01/2020|M|NIQ
10087921|11/01/2015|IN|PNY
10088280|04/27/2020|IN|NIQ
10088341|01/29/2020|M|NIQ
10088460|04/10/2020|IN|MAF
10088696|05/15/2020|M|NIQ
10089243|01/29/2020|M|NIQ
10089372|03/16/2020|M|NIQ
10089414|03/23/2020|M|NIQ
10089496|03/09/2020|M|NIQ
10089562|08/12/2019|M|NIQ
10089665|10/17/2019|M|NIQ
10089799|05/02/2020|M|NIQ
10089816|05/04/2020|M|NIQ
10090019|05/19/2020|M|NIQ
10090072|05/19/2020|M|NIQ
10090132|04/17/2020|IN|NIQ
10090989|05/26/2020|IN|NIQ
10091025|05/21/2020|IN|NIQ
10091157|05/21/2020|IN|NIQ
10091353|05/18/2020|M|NIQ
10091419|10/16/2019|M|NIQ
10091693|05/18/2020|M|NIQ
10091696|10/22/2019|M|NIQ
10091716|04/22/2020|M|NIQ
10091729|10/22/2019|M|NIQ
10092043|05/14/2020|M|NIQ
10092371|04/09/2020|IN|MAF
10092922|10/10/2019|M|NIQ
10092950|02/04/2020|M|NIQ
10093110|11/07/2019|M|NIQ
10093158|05/11/2020|M|NIQ
10093735|04/24/2020|IN|NIQ
10093848|05/08/2020|IN|MAF
10094094|07/18/2017|IN|PNY
10094146|05/10/2020|IN|NIQ
10094152|07/18/2017|IN|NIQ
10094249|05/18/2020|M|NIQ
10094313|10/11/2019|IN|MAF
10094341|05/15/2020|M|NIQ
10094358|05/22/2020|M|NIQ
10094625|05/04/2020|M|NIQ
10094718|05/05/2020|IN|NIQ
10095047|05/19/2020|M|NIQ
10095315|05/13/2020|M|NIQ
10095511|04/17/2020|IN|NIQ
10095551|05/26/2020|M|NIQ
10095573|04/29/2020|IN|NIQ
10095983|04/29/2020|IN|NIQ
10096185|04/29/2020|IN|NIQ
10096238|05/04/2020|M|MAF
10096242|05/22/2020|M|NIQ
10096306|03/10/2020|M|NIQ
10096454|03/25/2020|M|NIQ
10096487|04/26/2020|IN|NIQ
10096552|04/26/2020|IN|NIQ
10096599|04/26/2020|IN|NIQ
10097278|03/25/2020|M|NIQ
10098722|08/24/2018|IN|PNY
10098858|04/21/2020|M|NIQ
10098967|03/12/2020|M|NIQ
10098982|02/07/2020|M|NIQ
10099319|10/11/2019|M|NIQ
10100233|01/10/2020|M|MAF
10100299|03/19/2020|M|MAF
10100339|05/26/2020|M|NIQ
10102184|10/11/2019|M|NIQ
10103250|05/03/2020|M|NIQ
10103310|05/19/2020|M|NIQ
10103341|05/17/2020|M|NIQ
10103376|05/22/2020|M|NIQ
10103498|04/06/2020|IN|NIQ
10103529|05/26/2020|M|NIQ
10103559|05/26/2020|M|NIQ
10103562|05/26/2020|M|NIQ
10103721|05/17/2020|M|NIQ
10105762|03/11/2020|M|NIQ
10105881|05/10/2020|M|NIQ
10105886|06/10/2019|M|NIQ
10105915|05/14/2020|M|NIQ
10106537|04/21/2020|IN|NIQ
10106655|05/06/2020|IN|NIQ
10106937|05/07/2020|M|NIQ
10106938|05/08/2020|M|NIQ
10107037|05/27/2020|M|NIQ
10107236|05/22/2020|M|NIQ
10107993|05/31/2020|M|NIQ
10107999|05/31/2020|M|NIQ
10108526|01/17/2020|M|NIQ
10108622|01/14/2020|M|NIQ
10108699|05/29/2020|M|NIQ
10108718|01/22/2020|M|NIQ
10108895|01/15/2020|M|NIQ
10108948|04/05/2020|M|NIQ
10108954|04/05/2020|M|NIQ
10108988|03/05/2020|M|NIQ
10111478|05/01/2020|M|NIQ
10111702|05/05/2020|M|NIQ
10112054|05/05/2020|IN|NIQ
10112083|01/24/2020|IN|MAF
10112374|05/18/2020|IN|NIQ
10112644|05/16/2020|IN|NIQ
10112788|05/07/2020|M|NIQ
10112807|05/12/2020|M|NIQ
10113177|05/08/2016|IN|NIQ
10113336|05/29/2020|M|NIQ
10113339|05/29/2020|M|NIQ
10113340|03/26/2020|M|NIQ
10113353|03/10/2020|M|NIQ
10113616|02/22/2020|M|NIQ
10113628|04/10/2020|M|NIQ
10113668|04/17/2020|M|NIQ
10113677|02/26/2020|M|NIQ
10113678|05/27/2020|M|NIQ
10113685|05/22/2020|M|NIQ
10113687|03/14/2020|M|NIQ
10113693|03/12/2020|M|NIQ
10113767|04/21/2020|M|NIQ
10113791|02/03/2020|M|NIQ
10113897|05/13/2020|IN|NIQ
10113902|05/13/2020|IN|NIQ
10113911|05/13/2020|IN|NIQ
10113919|02/14/2020|IN|NIQ
10114367|04/27/2020|M|NIQ
10114399|04/15/2020|M|NIQ
10114419|05/08/2020|M|NIQ
10114530|04/14/2020|M|NIQ
10114568|04/01/2020|M|NIQ
10114589|05/07/2020|M|NIQ
10114740|04/18/2019|IN|NIQ
10114757|04/18/2019|IN|NIQ
10114824|01/31/2020|IN|NIQ
10115240|05/12/2020|M|NIQ
10115542|05/11/2020|M|MAF
10115841|05/20/2020|M|NIQ
10116133|05/12/2020|IN|MAF
10116695|05/24/2020|IN|MAF
10116832|11/30/2006|IN|NIQ
10116838|11/30/2006|IN|NIQ
10116860|11/30/2006|IN|NIQ
10116909|05/30/2020|M|NIQ
10116960|06/01/2020|M|NIQ
10116976|03/07/2020|M|NIQ
10117014|05/14/2020|M|NIQ
10117161|11/16/2019|IN|NIQ
10117165|05/20/2020|IN|NIQ
10117764|06/01/2020|M|NIQ
10117772|06/03/2020|M|NIQ
10117850|10/01/2019|M|NIQ
10118087|02/07/2020|IN|NIQ
10118176|10/26/2019|IN|NIQ
10118182|10/26/2019|IN|NIQ
10118344|05/25/2020|M|NIQ
10118483|05/12/2020|M|NIQ
10118748|04/15/2020|M|NIQ
10119264|05/11/2020|IN|NIQ
10119662|04/06/2020|M|NIQ
10120137|05/20/2020|IN|MAF
10120575|03/25/2020|M|NIQ
10121376|06/01/2020|M|MAF
10121482|04/04/2020|IN|NIQ
10121578|05/24/2020|M|NIQ
10121710|04/16/2020|IN|NIQ
10122128|01/17/2020|M|NIQ
10122219|06/01/2020|M|NIQ
10122222|06/01/2020|M|NIQ
10122417|05/29/2020|M|NIQ
10123165|05/22/2020|M|NIQ
10123327|05/22/2020|IN|MAF
10126075|06/03/2020|M|NIQ
10126076|06/01/2020|M|NIQ
10126177|05/18/2020|IN|NIQ
10126218|06/01/2020|M|NIQ
10126220|05/29/2020|M|NIQ
10126356|05/17/2020|M|NIQ
10127161|06/01/2020|M|NIQ
10127261|07/01/2019|IN|NIQ
10127268|01/14/2020|IN|NIQ
10127271|01/14/2020|IN|NIQ
10127617|06/01/2020|M|NIQ
10128135|05/27/2020|M|NIQ
10128159|06/01/2020|M|MAF
10129151|05/15/2020|M|MAF
10129952|05/27/2020|M|NIQ
10130054|04/24/2020|IN|NIQ
10130493|04/09/2020|M|NIQ
10130578|05/11/2020|M|NIQ
10130765|04/08/2020|M|NIQ
10130837|05/04/2020|M|NIQ
10130865|05/04/2020|M|NIQ
10130959|05/01/2020|M|NIQ
10131029|04/14/2020|M|NIQ
10131065|05/28/2020|M|NIQ
10131068|05/30/2020|M|NIQ
10131229|05/26/2020|M|NIQ
10131339|05/12/2020|M|NIQ
10131340|05/12/2020|M|NIQ
10131397|05/30/2020|M|NIQ
10131999|06/06/2020|M|NIQ
10132033|12/27/2019|IN|NIQ
10132037|12/27/2019|IN|NIQ
10132056|05/26/2020|M|NIQ
10132063|03/23/2020|M|NIQ
10132427|04/09/2020|M|NIQ
10132878|06/04/2020|M|NIQ
10132920|04/21/2020|M|NIQ
10132997|02/29/2020|M|NIQ
10133423|05/14/2020|M|NIQ
10133811|05/20/2020|IN|MAF
10133880|09/30/2019|IN|NIQ
10134180|04/04/2020|M|NIQ
10134587|06/03/2020|M|NIQ
10134599|06/04/2020|M|NIQ
10134627|06/04/2020|M|NIQ
10134774|05/13/2020|M|NIQ
10135394|05/18/2020|M|NIQ
10135412|05/18/2020|M|NIQ
10135466|04/16/2020|M|NIQ
10135520|04/09/2020|M|NIQ
10135533|12/01/2019|M|NIQ
10135579|05/14/2020|IN|NIQ
10135619|05/20/2020|IN|MAF
